ano;obitos menores de 1 Ano;obitos menores de 7 dias;obitos de 28 dias a 364 dias;obitos de 7 a 27 dias
2022;4;4;0;0
2022;4;2;1;1
2022;0;0;0;0
2022;3;2;0;1
2022;1;0;0;1
2022;1;1;0;0
2022;0;0;0;0
2022;0;0;0;0
2022;3;2;1;0
2022;1;1;0;0
2022;0;0;0;0
2022;1;1;0;0
2022;1;1;0;0
2022;2;2;0;0
2022;2;1;1;0
2022;0;0;0;0
2022;4;3;0;1
2022;0;0;0;0
2022;0;0;0;0
2022;23;11;7;5
2022;5;3;2;0
2022;0;0;0;0
2022;8;4;3;1
2022;1;1;0;0
2022;5;1;3;1
2022;3;2;1;0
2022;2;1;1;0
2022;1;1;0;0
2022;4;1;1;2
2022;0;0;0;0
2022;0;0;0;0
2022;5;4;0;1
2022;25;11;9;5
2022;0;0;0;0
2022;2;2;0;0
2022;2;1;0;1
2022;0;0;0;0
2022;16;10;4;2
2022;12;8;2;2
2022;0;0;0;0
2022;1;0;0;1
2022;0;0;0;0
2022;1;0;1;0
2022;0;0;0;0
2022;2;2;0;0
2022;8;6;0;2
2022;0;0;0;0
2022;11;8;1;2
2022;15;7;2;6
2022;2;1;1;0
2022;3;2;1;0
2022;1;0;1;0
2022;18;9;4;5
2022;3;3;0;0
2022;0;0;0;0
2022;0;0;0;0
2022;1;1;0;0
2022;0;0;0;0
2022;2;1;1;0
2022;4;3;1;0
2022;4;2;0;2
2022;1;0;1;0
2022;1;0;1;0
2022;17;9;3;5
2022;2;1;1;0
2022;34;20;6;8
2022;2;2;0;0
2022;10;6;0;4
2022;37;12;10;15
2022;8;4;3;1
2022;0;0;0;0
2022;0;0;0;0
2022;16;8;6;2
2022;3;1;1;1
2022;16;12;4;0
2022;1;0;1;0
2022;2;1;1;0
2022;3;3;0;0
2022;1;1;0;0
2022;10;6;3;1
2022;3;0;3;0
2022;0;0;0;0
2022;0;0;0;0
2022;0;0;0;0
2022;3;2;1;0
2022;0;0;0;0
2022;17;13;2;2
2022;26;15;6;5
2022;0;0;0;0
2022;2;2;0;0
2022;2;0;2;0
2022;2;0;1;1
2022;3;1;1;1
2022;0;0;0;0
2022;1;0;1;0
2022;0;0;0;0
2022;13;6;3;4
2022;8;4;3;1
2022;9;7;1;1
2022;1;0;1;0
2022;5;3;0;2
2022;1;1;0;0
2022;21;14;4;3
2022;0;0;0;0
2022;18;10;4;4
2022;4;3;1;0
2022;0;0;0;0
2022;6;4;2;0
2022;1;1;0;0
2022;131;62;47;22
2022;4;2;2;0
2022;7;4;2;1
2022;1;0;1;0
2022;4;2;2;0
2022;1;0;0;1
2022;2;1;1;0
2022;0;0;0;0
2022;1;1;0;0
2022;5;2;0;3
2022;5;4;0;1
2022;12;9;2;1
2022;18;9;5;4
2022;88;42;25;21
2022;0;0;0;0
2022;3;2;1;0
2022;0;0;0;0
2022;1;1;0;0
2022;10;4;1;5
2022;2;0;2;0
2022;1;1;0;0
2022;6;2;3;1
2022;0;0;0;0
2022;5;2;3;0
2022;2;1;1;0
2022;0;0;0;0
2022;1;1;0;0
2022;2;2;0;0
2022;8;4;4;0
2022;2;1;1;0
2022;7;3;3;1
2022;0;0;0;0
2022;2;2;0;0
2022;0;0;0;0
2022;8;5;2;1
2022;2;1;0;1
2022;55;30;16;9
2022;7;3;4;0
2022;1;1;0;0
2022;0;0;0;0
2022;9;5;1;3
2022;19;9;7;3
2022;2;0;2;0
2022;4;1;2;1
2022;56;26;20;10
2022;0;0;0;0
2022;0;0;0;0
2022;0;0;0;0
2022;1;1;0;0
2022;0;0;0;0
2022;0;0;0;0
2022;5;2;2;1
2022;1;1;0;0
2022;0;0;0;0
2022;0;0;0;0
2022;3;0;2;1
2022;7;5;1;1
2022;0;0;0;0
2022;0;0;0;0
2022;33;15;13;5
2022;7;3;4;0
2022;0;0;0;0
2022;4;1;2;1
2022;5;1;2;2
2022;0;0;0;0
2022;1;1;0;0
2022;1;1;0;0
2022;1;1;0;0
